장르,개막편수,상연횟수,매출액,매출액점유율,관객수,관객점유율
서커스/마술,65,766,1698353605,1.3,50070,2.6
복합,43,117,1205477150,0.9,41824,2.1
연극,266,4612,4856723610,3.6,218441,11.1
뮤지컬,241,3273,38240967775,28.0,609321,30.9
서양음악(클래식),747,903,8418558040,6.2,284581,14.4
한국음악(국악),152,251,385980800,0.3,50625,2.6
대중음악,348,607,82299838339,60.3,691764,35.1
무용(서양/한국무용),103,183,1247109450,0.9,53336,2.7
대중무용,4,4,45914000,0.0,1548,0.1
서커스/마술,80,823,836434165,0.6,38380,1.9
복합,58,115,247916500,0.2,24991,1.3
연극,327,4307,5227666116,5.2,205774,11.9
뮤지컬,248,3088,28045811922,28.1,518644,29.9
서양음악(클래식),889,1060,12102772135,12.1,362830,20.9
한국음악(국악),185,260,800375250,0.8,65611,3.8
대중음악,357,596,51342606277,51.4,466890,27.0
무용(서양/한국무용),97,185,1402150400,1.4,56772,3.3
대중무용,0,0,0,0.0,0,0.0
서커스/마술,46,551,818834902,0.8,30458,1.8
복합,68,122,227977200,0.2,25292,1.5
연극,320,4537,5725935000,4.2,233612,11.4
뮤지컬,279,3227,39523744845,28.9,626078,30.5
서양음악(클래식),874,1046,8748432702,6.4,345852,16.8
한국음악(국악),191,263,532934200,0.4,54042,2.6
대중음악,445,691,78750052200,57.7,639517,31.2
무용(서양/한국무용),122,217,1800371950,1.3,77374,3.8
대중무용,4,4,2782000,0.0,1244,0.1
서커스/마술,46,559,1264696100,0.9,35928,1.8
복합,63,151,187082960,0.1,39130,1.9
연극,146,3923,5567640356,3.9,205271,10.5
뮤지컬,241,3015,36863436370,25.8,594322,30.3
서양음악(클래식),529,789,10219021016,7.2,251820,12.8
한국음악(국악),64,102,470756300,0.3,23290,1.2
대중음악,451,739,79142382182,55.5,658389,33.6
무용(서양/한국무용),57,152,7864297800,5.5,144591,7.4
대중무용,3,4,8605000,0.0,1053,0.1
서커스/마술,67,733,2400273840,1.7,70812,3.6
복합,30,61,129961600,0.1,11795,0.6
