지역명,공연시설수,공연장수,총좌석수,공연건수,개막편수,상연횟수,판매수,취소수,총티켓판매수,총티켓판매액
경북,121,159,87681,64,,127,44986,10054,34932,1113560780
울산,43,63,44036,38,,145,32761,8519,24242,1086842050
경기/인천,536,690,900424,419,,1483,601942,200434,401508,24520407370
경기,424,543,723081,344,,1202,459133,138528,320605,17414285640
인천,112,147,177343,75,,281,142809,61906,80903,7106121730
충청도,277,365,372381,202,,750,197808,44812,152996,10468409890
대전,94,118,251270,84,,412,98383,21339,77044,7020640510
충북,68,77,36540,45,,186,39941,9999,29942,2280866190
충남,99,139,76493,59,,126,44315,9482,34833,711589690
세종,16,31,8078,14,,26,15169,3992,11177,455313500
전라도,266,369,299461,143,,650,188240,58247,129993,8677401930
광주,73,111,87073,59,,298,114634,35089,79545,6509932810
전북,108,137,102632,53,,177,43071,13164,29907,1631928020
전남,85,121,109756,31,,175,30535,9994,20541,535541100
강원도,151,214,356780,55,,108,39959,10022,29937,848437830
제주도,70,86,90075,30,,195,25737,5349,20388,739777900
합계,3284,4285,3433564,2503,,13618,4913883,1927438,2986445,219475912541
서울,1354,1713,572314,724,,6744,1889468,832083,1057385,67364309096
경상도,630,848,842129,204,,959,389787,131747,258040,21487750200
부산,200,255,411272,71,,364,216670,77742,138928,13919231120
대구,142,195,183465,63,,350,113781,38652,75129,5666493950
경남,124,176,115675,31,,108,28848,8441,20407,972207380
울산,43,63,44036,19,,95,15755,3658,12097,648146430
경북,121,159,87681,20,,42,14733,3254,11479,281671320
경기/인천,536,690,900424,172,,939,254950,80531,174419,11629512470
경기,424,543,723081,145,,808,189916,49720,140196,8258816690
인천,112,147,177343,27,,131,65034,30811,34223,3370695780
충청도,277,365,372381,82,,295,85403,26601,58802,3745483010
대전,94,118,251270,26,,145,44405,15497,28908,2499681290
충북,68,77,36540,20,,79,17635,5149,12486,838121090
충남,99,139,76493,28,,61,15205,2621,12584,225959780
세종,16,31,8078,8,,10,8158,3334,4824,181720850
전라도,266,369,299461,70,,351,59515,19059,40456,2060377972
광주,73,111,87073,25,,131,29948,10674,19274,1127310572
전남,85,121,109756,19,,125,14171,4012,10159,528637700
전북,108,137,102632,26,,95,15396,4373,11023,404429700
제주도,70,86,90075,19,,156,13906,3665,10241,422109100
강원도,151,214,356780,28,,40,34421,10291,24130,414841900
합계,3284,4285,3433564,1299,,9484,2727450,1103977,1623473,107124383748
서울,1354,1713,572314,784,,6406,1821712,728328,1093384,74179281629
경기/인천,536,690,900424,219,,862,204314,56568,147746,7591381250
경기,424,543,723081,188,,738,153925,38555,115370,3797305920
인천,112,147,177343,31,,124,50389,18013,32376,3794075330
경상도,630,848,842129,246,,990,214761,65973,148788,6659995553
부산,200,255,411272,75,,335,81616,30657,50959,3258112663
경남,124,176,115675,41,,141,33070,11136,21934,1157782390
대구,142,195,183465,76,,359,55926,13698,42228,1128716040
울산,43,63,44036,30,,110,23366,5109,18257,586723880
경북,121,159,87681,24,,45,20783,5373,15410,528660580
충청도,277,365,372381,85,,340,73662,21550,52112,2467506900
대전,94,118,251270,33,,189,40114,13560,26554,1830267530
충북,68,77,36540,20,,80,11334,2490,8844,313714870
충남,99,139,76493,27,,65,18551,4469,14082,245113200
세종,16,31,8078,5,,6,3663,1031,2632,78411300
전라도,266,369,299461,83,,390,64071,19101,44970,2281126770
광주,73,111,87073,29,,138,27623,8266,19357,948881640
전북,108,137,102632,29,,96,20478,7500,12978,771917430
전남,85,121,109756,25,,156,15970,3335,12635,560327700
제주도,70,86,90075,25,,141,15799,3258,12541,486690300
강원도,151,214,356780,18,,32,10577,2183,8394,156793600
합계,3284,4285,3433564,1460,,9161,2404896,896961,1507935,93822776002
서울,1354,1713,572314,915,,5530,1469200,622016,847184,53271023758
경기/인천,536,690,900424,249,,820,328019,105856,222163,15713837381
인천,112,147,177343,47,,136,137475,51881,85594,10438224641
경기,424,543,723081,202,,684,190544,53975,136569,5275612740
경상도,630,848,842129,353,,1134,357640,126442,231198,13645014590
부산,200,255,411272,99,,396,127276,49947,77329,6025514200
대구,142,195,183465,113,,342,105680,37443,68237,4164553140
경남,124,176,115675,80,,226,74917,27368,47549,2298988900
울산,43,63,44036,24,,105,17876,4609,13267,607591670
경북,121,159,87681,37,,65,31891,7075,24816,548366680
전라도,266,369,299461,99,,351,90224,23446,66778,3499024142
광주,73,111,87073,40,,136,44809,11989,32820,1832564261
전북,108,137,102632,34,,113,30533,8110,22423,1252726581
전남,85,121,109756,25,,102,14882,3347,11535,413733300
충청도,277,365,372381,109,,358,93343,30544,62799,3145586820
대전,94,118,251270,51,,201,55419,20819,34600,2541721100
충남,99,139,76493,28,,68,19803,4594,15209,253899520
충북,68,77,36540,22,,77,10561,2272,8289,242504200
세종,16,31,8078,8,,12,7560,2859,4701,107462000
강원도,151,214,356780,29,,54,13343,2519,10824,209191500
제주도,70,86,90075,21,,129,11664,2935,8729,201130100
합계,3284,4285,3433564,1775,,8376,2363433,913758,1449675,89684808291
서울,1354,1713,572314,960,,6452,1916682,759897,1156785,86897742437
경기/인천,536,690,900424,307,,1020,351628,105769,245859,13255606890
경기,424,543,723081,256,,859,265555,78106,187449,8098888670
인천,112,147,177343,51,,161,86073,27663,58410,5156718220
경상도,630,848,842129,380,,1226,347934,107669,240265,10624679426
대구,142,195,183465,116,,392,119440,38473,80967,3555798700
부산,200,255,411272,111,,411,94859,33718,61141,3000413020
울산,43,63,44036,37,,114,42685,13128,29557,2652973576
경남,124,176,115675,72,,219,50845,11735,39110,854855530
경북,121,159,87681,44,,90,40105,10615,29490,560638600
전라도,266,369,299461,124,,427,118780,40454,78326,5099073823
광주,73,111,87073,53,,175,60855,20988,39867,3344594773
전북,108,137,102632,45,,112,36486,11025,25461,1417383150
전남,85,121,109756,26,,140,21439,8441,12998,337095900
충청도,277,365,372381,168,,532,100412,23261,77151,2232387510
대전,94,118,251270,76,,258,43585,9589,33996,982386580
충북,68,77,36540,33,,145,15899,3624,12275,637873900
충남,99,139,76493,41,,92,30034,6555,23479,380747780
세종,16,31,8078,18,,37,10894,3493,7401,231379250
강원도,151,214,356780,38,,66,30709,7300,23409,1826885820
제주도,70,86,90075,20,,129,11441,3252,8189,226939400
합계,3284,4285,3433564,1997,,9852,2877586,1047602,1829984,120163315306
서울,1354,1713,572314,1017,,6565,1939482,741954,1197528,91668320320
경기/인천,536,690,900424,360,,1159,347060,100438,246622,15361846170
인천,112,147,177343,77,,217,106041,35260,70781,7824844340
경기,424,543,723081,283,,942,241019,65178,175841,7537001830
경상도,630,848,842129,396,,1422,479841,150090,329751,14869728262
경남,124,176,115675,70,,263,99371,29147,70224,5150456651
부산,200,255,411272,118,,481,152826,56336,96490,4064482010
대구,142,195,183465,116,,407,131812,40646,91166,2294096820
울산,43,63,44036,36,,156,43412,11294,32118,2194074301
경북,121,159,87681,56,,115,52420,12667,39753,1166618480
충청도,277,365,372381,164,,543,150236,42278,107958,6808512951
대전,94,118,251270,77,,307,82111,24991,57120,4195262071
충북,68,77,36540,26,,105,26618,6229,20389,1492177500
충남,99,139,76493,40,,104,31072,7674,23398,640989880
세종,16,31,8078,21,,27,10435,3384,7051,480083500
전라도,266,369,299461,128,,468,111549,31082,80467,4460483780
광주,73,111,87073,48,,189,62995,17427,45568,2872199900
전북,108,137,102632,45,,118,30215,8445,21770,1238226980
전남,85,121,109756,35,,161,18339,5210,13129,350056900
강원도,151,214,356780,45,,109,37063,9604,27459,838854700
제주도,70,86,90075,20,,132,14418,3657,10761,329677450
합계,3284,4285,3433564,2130,,10398,3079649,1079103,2000546,134337423633
서울,1354,1713,572314,1030,,6053,1520362,592765,927597,57688370361
경기/인천,536,690,900424,310,,940,491519,153130,338389,17739779682
경기,424,543,723081,255,,778,383879,108697,275182,12239298182
