공연시설명,공연장명,좌석수,공연건수,개막편수,상연횟수,총티켓판매수,연도,규모
엑스코(exco),회의실,410,0,0,0,0,2023,300~500석 미만
엑스코(exco),전시4홀,4000,0,0,0,0,2023,"1,000~5,000석 미만"
엑스코(exco),전시5홀,4000,0,0,0,0,2023,"1,000~5,000석 미만"
엑스코(exco),전시6홀,4000,0,0,0,0,2023,"1,000~5,000석 미만"
엑스코(exco),전시3홀,5000,0,0,0,0,2023,"5,000~10,000석 미만"
광림아트센터,장천홀,613,1,1,1,17,2023,"500~1,000석 미만"
광림아트센터,BBCH홀,1006,2,1,39,22952,2023,"1,000~5,000석 미만"
대전시립연정국악원,큰마당,750,2,2,7,3068,2023,"500~1,000석 미만"
대전시립연정국악원,작은마당,338,1,1,1,11,2023,300~500석 미만
호은아트홀 (구. 키득키득아트홀),호은아트홀 (구. 키득키득아트홀),200,1,0,70,4643,2023,1~300석 미만
롯데콘서트홀,롯데콘서트홀,2036,18,18,22,11765,2023,"1,000~5,000석 미만"
링크아트센터드림,드림 1관,352,1,0,36,8193,2023,300~500석 미만
링크아트센터드림,드림 2관,211,1,0,39,4780,2023,1~300석 미만
링크아트센터드림,드림 3관,211,2,1,31,3562,2023,1~300석 미만
링크아트센터드림,드림 4관,205,2,1,27,3952,2023,1~300석 미만
큐씨어터(구. 수상한흥신소전용관),큐씨어터(구. 수상한흥신소전용관),250,1,0,48,4263,2023,1~300석 미만
대구보건대 인당아트홀,대구보건대 인당아트홀,1139,3,3,9,2480,2023,"1,000~5,000석 미만"
KBS스포츠월드(아레나),KBS아레나,2222,2,2,4,7463,2023,"1,000~5,000석 미만"
KBS홀 [창원],KBS홀 [창원],1807,1,1,2,2603,2023,"1,000~5,000석 미만"
아트포레스트 아트홀,1관,212,1,0,41,3448,2023,1~300석 미만
아트포레스트 아트홀,2관,155,1,0,44,646,2023,1~300석 미만
서대문문화체육회관,대극장,589,2,2,8,2621,2023,"500~1,000석 미만"
서대문문화체육회관,소극장,150,0,0,0,0,2023,1~300석 미만
연세대학교 백주년기념관,콘서트홀,829,1,1,6,4645,2023,"500~1,000석 미만"
이화여자대학교 삼성홀,이화여자대학교 삼성홀,708,2,1,41,5822,2023,"500~1,000석 미만"
안성맞춤아트홀,대공연장,991,1,1,6,3156,2023,"500~1,000석 미만"
안성맞춤아트홀,소공연장,303,0,0,0,0,2023,300~500석 미만
안성맞춤아트홀,야외무대,0,0,0,0,0,2023,좌석 미상
현대백화점 문화홀 [중동],현대백화점 문화홀 [중동],500,1,1,15,6224,2023,"500~1,000석 미만"
잠실종합운동장,FB빅탑시어터,500,1,0,3,3311,2023,"500~1,000석 미만"
잠실종합운동장,실내체육관,11032,0,0,0,0,2023,"10,000석 이상"
잠실종합운동장,특설링,0,0,0,0,0,2023,좌석 미상
잠실종합운동장,보조경기장,1782,0,0,0,0,2023,"1,000~5,000석 미만"
잠실종합운동장,주경기장,65599,0,0,0,0,2023,"10,000석 이상"
잠실종합운동장,로열씨어터,500,0,0,0,0,2023,"500~1,000석 미만"
잠실종합운동장,서문주차장,0,0,0,0,0,2023,좌석 미상
잠실종합운동장,빅탑,2400,1,0,2,4954,2023,"1,000~5,000석 미만"
JS아트홀 (구. 고스트씨어터 구.다소니씨어터),JS아트홀 (구. 고스트씨어터 구.다소니씨어터),194,1,0,83,3620,2023,1~300석 미만
서경대학교 공연예술센터,스콘2관,264,1,0,34,1430,2023,1~300석 미만
서경대학교 공연예술센터,스콘1관,440,1,0,36,5477,2023,300~500석 미만
고척스카이돔,고척스카이돔,16744,1,1,2,11216,2023,"10,000석 이상"
김대중컨벤션센터,다목적홀,3000,3,3,3,4030,2023,"1,000~5,000석 미만"
김대중컨벤션센터,전시장,0,0,0,0,0,2023,좌석 미상
더 서울라이티움 (갤러리아포레),G층 전용관,800,5,2,138,18779,2023,"500~1,000석 미만"
더 서울라이티움 (갤러리아포레),더페이지 갤러리,0,0,0,0,0,2023,좌석 미상
잠실학생체육관,본관,5400,1,0,1,2709,2023,"5,000~10,000석 미만"
송도컨벤시아,송도컨벤시아,5000,2,2,3,6103,2023,"5,000~10,000석 미만"
드림씨어터 [부산],드림씨어터 [부산],1727,3,2,17,20256,2023,"1,000~5,000석 미만"
경희대학교,선승관(종합체육관),1834,2,2,2,3001,2023,"1,000~5,000석 미만"
수원컨벤션센터,전시홀,7000,1,1,1,2949,2023,"5,000~10,000석 미만"
현대백화점 문화홀 [천호],현대백화점 문화홀 [천호],420,1,1,8,2585,2023,300~500석 미만
경주실내체육관,경주실내체육관,0,1,1,2,2732,2023,좌석 미상
라온아트홀,라온아트홀,110,1,0,128,7352,2023,1~300석 미만
세종예술의전당,대공연장,1071,4,3,6,4477,2023,"1,000~5,000석 미만"
세종예술의전당,중공연장,0,0,0,0,0,2023,좌석 미상
세종예술의전당,소공연장,0,0,0,0,0,2023,좌석 미상
세종예술의전당,야외공연장,0,0,0,0,0,2023,좌석 미상
세종예술의전당,다목적실 (3F),0,0,0,0,0,2023,좌석 미상
LG아트센터 서울,LG SIGNATURE 홀,1335,2,1,37,33827,2023,"1,000~5,000석 미만"
LG아트센터 서울,U+ 스테이지,365,1,1,1,75,2023,300~500석 미만
링크아트센터,페이코홀,477,2,2,3,1237,2023,300~500석 미만
링크아트센터,벅스홀,401,7,7,14,4162,2023,300~500석 미만
상명대학교 천안캠퍼스,계당관,0,1,1,2,4739,2023,좌석 미상
국립국악원,예악당,658,2,2,2,958,2023,"500~1,000석 미만"
국립국악원,우면당,231,1,1,3,551,2023,1~300석 미만
국립국악원,풍류사랑방,130,4,4,7,899,2023,1~300석 미만
국립국악원,연희마당,700,0,0,0,0,2023,"500~1,000석 미만"
국립국악원,진악당(폐관),600,0,0,0,0,2023,"500~1,000석 미만"
용인포은아트홀,용인포은아트홀,1259,2,2,2,1810,2023,"1,000~5,000석 미만"
롤링홀,롤링홀,200,11,11,12,1516,2023,1~300석 미만
울산북구문화예술회관,공연장,453,1,1,6,1180,2023,300~500석 미만
양천문화회관,대극장,684,2,2,4,957,2023,"500~1,000석 미만"
양천문화회관,해누리홀,406,0,0,0,0,2023,300~500석 미만
양천문화회관,해바라기홀,230,0,0,0,0,2023,1~300석 미만
동래문화회관,대극장,505,2,2,4,1648,2023,"500~1,000석 미만"
동래문화회관,소극장,196,0,0,0,0,2023,1~300석 미만
동래문화회관,야외공연장,1130,0,0,0,0,2023,"1,000~5,000석 미만"
(재) 영화의전당,하늘연극장,841,2,2,2,1139,2023,"500~1,000석 미만"
(재) 영화의전당,야외극장,4000,0,0,0,0,2023,"1,000~5,000석 미만"
(재) 영화의전당,인디플러스,36,0,0,0,0,2023,1~300석 미만
(재) 영화의전당,로비,0,0,0,0,0,2023,좌석 미상
(재) 영화의전당,야외광장 (두레라움광장),0,0,0,0,0,2023,좌석 미상
한양레퍼토리씨어터,한양레퍼토리씨어터,126,2,1,28,1020,2023,1~300석 미만
세종대학교 대양홀,세종대학교 대양홀,2029,2,2,3,1165,2023,"1,000~5,000석 미만"
도봉구민회관,대강당(하모니홀),536,2,2,10,1520,2023,"500~1,000석 미만"
도봉구민회관,소공연장,190,0,0,0,0,2023,1~300석 미만
초콜릿팩토리,초콜릿팩토리,0,2,1,41,1249,2023,좌석 미상
송죽씨어터,송죽씨어터,260,2,1,32,1474,2023,1~300석 미만
아트플러스씨어터,1관,122,0,0,0,0,2023,1~300석 미만
아트플러스씨어터,2관,135,1,0,28,1230,2023,1~300석 미만
인천학생교육문화회관,싸리재홀(대공연장),592,1,1,2,1152,2023,"500~1,000석 미만"
인천학생교육문화회관,이든홀(소공연장),216,0,0,0,0,2023,1~300석 미만
KT&G 상상마당 라이브홀 [마포],KT&G 상상마당 라이브홀 [마포],150,6,6,6,1256,2023,1~300석 미만
KT&G 상상마당 라이브홀 [마포],KT&G 상상마당 시네마,76,0,0,0,0,2023,1~300석 미만
춘천문화예술회관,공연장,940,2,2,4,1470,2023,"500~1,000석 미만"
춘천문화예술회관,로비,0,0,0,0,0,2023,좌석 미상
올웨이즈 씨어터(구.아티스탄홀),올웨이즈 씨어터(구.아티스탄홀),299,2,0,37,1318,2023,1~300석 미만
충주시문화회관,충주시문화회관,889,1,1,1,859,2023,"500~1,000석 미만"
씨어터조이 (구. 마당세실극장),씨어터조이 (구. 마당세실극장),100,2,1,62,2316,2023,1~300석 미만
솜리문화예술회관,중공연장,556,2,2,8,925,2023,"500~1,000석 미만"
솜리문화예술회관,소공연장,250,1,1,5,373,2023,1~300석 미만
우송예술회관,우송예술회관,1189,1,1,6,2432,2023,"1,000~5,000석 미만"
천안시청 봉서홀,천안시청 봉서홀,1064,2,2,2,1378,2023,"1,000~5,000석 미만"
경주예술의전당,대공연장(화랑홀),1053,1,1,1,1016,2023,"1,000~5,000석 미만"
경주예술의전당,소공연장(원화홀),331,0,0,0,0,2023,300~500석 미만
경주예술의전당,야외공연장,900,0,0,0,0,2023,"500~1,000석 미만"
경주예술의전당,로비(2층),0,0,0,0,0,2023,좌석 미상
경주예술의전당,대회의실,0,0,0,0,0,2023,좌석 미상
남산골한옥마을,서울남산국악당,302,2,2,4,1033,2023,300~500석 미만
남산골한옥마을,민씨가옥,50,0,0,0,0,2023,1~300석 미만
남산골한옥마을,천우각무대,100,0,0,0,0,2023,1~300석 미만
남산골한옥마을,일대,0,0,0,0,0,2023,좌석 미상
남산골한옥마을,서울남산국악당 야외마당,0,0,0,0,0,2023,좌석 미상
남산골한옥마을,체험실,0,0,0,0,0,2023,좌석 미상
남산골한옥마을,서울남산국악당 연습실,0,0,0,0,0,2023,좌석 미상
원주백운아트홀,원주백운아트홀,962,3,3,7,1351,2023,"500~1,000석 미만"
올래홀,올래홀,172,1,0,68,1524,2023,1~300석 미만
금나래아트홀,금나래아트홀,552,1,1,5,1296,2023,"500~1,000석 미만"
과천시민회관,대극장,929,1,1,1,862,2023,"500~1,000석 미만"
과천시민회관,소극장,380,1,1,4,1209,2023,300~500석 미만
흰물결아트센터,화이트홀,475,1,1,4,1098,2023,300~500석 미만
